arrow::tensor::BooleanTensor	a95f28e44ad3a25b5ce58314	type_alias	arrow	operations/arrow.tensor.BooleanTensor.json	operations/arrow.tensor.BooleanTensor.md#op-a95f28e44ad3a25b5ce58314	type BooleanTensor<'a> = Tensor<'a, BooleanType>
arrow::tensor::Date32Tensor	d7a53dd0634d84b958cab5e3	type_alias	arrow	operations/arrow.tensor.Date32Tensor.json	operations/arrow.tensor.Date32Tensor.md#op-d7a53dd0634d84b958cab5e3	type Date32Tensor<'a> = Tensor<'a, Date32Type>
arrow::tensor::Date64Tensor	209f3b7a9d05984d667c3fb7	type_alias	arrow	operations/arrow.tensor.Date64Tensor.json	operations/arrow.tensor.Date64Tensor.md#op-209f3b7a9d05984d667c3fb7	type Date64Tensor<'a> = Tensor<'a, Date64Type>
arrow::tensor::Decimal128Tensor	d67c05bc73e22537a746c8e5	type_alias	arrow	operations/arrow.tensor.Decimal128Tensor.json	operations/arrow.tensor.Decimal128Tensor.md#op-d67c05bc73e22537a746c8e5	type Decimal128Tensor<'a> = Tensor<'a, Decimal128Type>
arrow::tensor::Decimal256Tensor	516ea166452e46745e03bdf1	type_alias	arrow	operations/arrow.tensor.Decimal256Tensor.json	operations/arrow.tensor.Decimal256Tensor.md#op-516ea166452e46745e03bdf1	type Decimal256Tensor<'a> = Tensor<'a, Decimal256Type>
arrow::tensor::Decimal32Tensor	8bcea3d6f2b194a56c3392d4	type_alias	arrow	operations/arrow.tensor.Decimal32Tensor.json	operations/arrow.tensor.Decimal32Tensor.md#op-8bcea3d6f2b194a56c3392d4	type Decimal32Tensor<'a> = Tensor<'a, Decimal32Type>
arrow::tensor::Decimal64Tensor	4857620d4705a3f18681c6ed	type_alias	arrow	operations/arrow.tensor.Decimal64Tensor.json	operations/arrow.tensor.Decimal64Tensor.md#op-4857620d4705a3f18681c6ed	type Decimal64Tensor<'a> = Tensor<'a, Decimal64Type>
arrow::tensor::DurationMicrosecondTensor	b2a1055bd5c3feba13db4f02	type_alias	arrow	operations/arrow.tensor.DurationMicrosecondTensor.json	operations/arrow.tensor.DurationMicrosecondTensor.md#op-b2a1055bd5c3feba13db4f02	type DurationMicrosecondTensor<'a> = Tensor<'a, DurationMicrosecondType>
arrow::tensor::DurationMillisecondTensor	f77a7142b3782a2c30572f66	type_alias	arrow	operations/arrow.tensor.DurationMillisecondTensor.json	operations/arrow.tensor.DurationMillisecondTensor.md#op-f77a7142b3782a2c30572f66	type DurationMillisecondTensor<'a> = Tensor<'a, DurationMillisecondType>
arrow::tensor::DurationNanosecondTensor	4f59fa0165338339b2a39dfd	type_alias	arrow	operations/arrow.tensor.DurationNanosecondTensor.json	operations/arrow.tensor.DurationNanosecondTensor.md#op-4f59fa0165338339b2a39dfd	type DurationNanosecondTensor<'a> = Tensor<'a, DurationNanosecondType>
arrow::tensor::DurationSecondTensor	d56584207ee4eaa0ea409532	type_alias	arrow	operations/arrow.tensor.DurationSecondTensor.json	operations/arrow.tensor.DurationSecondTensor.md#op-d56584207ee4eaa0ea409532	type DurationSecondTensor<'a> = Tensor<'a, DurationSecondType>
arrow::tensor::Float16Tensor	5b98ff8e8cba46aea8554845	type_alias	arrow	operations/arrow.tensor.Float16Tensor.json	operations/arrow.tensor.Float16Tensor.md#op-5b98ff8e8cba46aea8554845	type Float16Tensor<'a> = Tensor<'a, Float16Type>
arrow::tensor::Float32Tensor	e256badf46aab6c9ca1cbd8f	type_alias	arrow	operations/arrow.tensor.Float32Tensor.json	operations/arrow.tensor.Float32Tensor.md#op-e256badf46aab6c9ca1cbd8f	type Float32Tensor<'a> = Tensor<'a, Float32Type>
arrow::tensor::Float64Tensor	365d1a2687be2e7dd8f4b52a	type_alias	arrow	operations/arrow.tensor.Float64Tensor.json	operations/arrow.tensor.Float64Tensor.md#op-365d1a2687be2e7dd8f4b52a	type Float64Tensor<'a> = Tensor<'a, Float64Type>
arrow::tensor::Int16Tensor	d4c2f4a189cda723f3bc2707	type_alias	arrow	operations/arrow.tensor.Int16Tensor.json	operations/arrow.tensor.Int16Tensor.md#op-d4c2f4a189cda723f3bc2707	type Int16Tensor<'a> = Tensor<'a, Int16Type>
