datafusion	recursive_protection	datafusion-common/recursive_protection,datafusion-expr/recursive_protection,datafusion-optimizer/recursive_protection,datafusion-physical-expr/recursive_protection,datafusion-physical-optimizer/recursive_protection,datafusion-sql?/recursive_protection,sqlparser?/recursive-protection	default
datafusion	regex_expressions	datafusion-functions/regex_expressions	default
datafusion	serde	arrow-schema/serde,dep:serde	-
datafusion	sql	datafusion-common/sql,datafusion-functions-nested?/sql,datafusion-sql,sqlparser	default
datafusion	string_expressions	datafusion-functions/string_expressions	default
datafusion	unicode_expressions	datafusion-functions/unicode_expressions,datafusion-sql?/unicode_expressions	default
datafusion-common	backtrace	-	-
datafusion-common	force_hash_collisions	-	-
datafusion-common	parquet	dep:parquet	-
datafusion-common	parquet_encryption	dep:hex,parquet,parquet/encryption	-
datafusion-common	recursive_protection	dep:recursive	-
datafusion-common	sql	sqlparser	-
datafusion-datasource	backtrace	datafusion-common/backtrace	-
datafusion-datasource	compression	async-compression,bzip2,flate2,liblzma,tokio-util,zstd	default
datafusion-datasource	default	compression	-
datafusion-datasource	proto	datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-datasource-arrow	compression	-	-
datafusion-datasource-arrow	proto	datafusion-datasource/proto,datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-datasource-avro	proto	datafusion-datasource/proto,datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-datasource-csv	proto	datafusion-datasource/proto,datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-datasource-json	proto	datafusion-datasource/proto,datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-datasource-parquet	parquet_encryption	datafusion-common/parquet_encryption,datafusion-execution/parquet_encryption,parquet/encryption	-
datafusion-datasource-parquet	proto	datafusion-datasource/proto,datafusion-physical-plan/proto,dep:datafusion-proto-models	-
datafusion-execution	arrow_buffer_pool	arrow-buffer/pool	-
datafusion-execution	default	sql	-
datafusion-execution	parquet_encryption	parquet/encryption	-
datafusion-execution	sql	-	default
datafusion-expr	default	sql	-
datafusion-expr	proto	dep:datafusion-proto-common,dep:datafusion-proto-models	-
datafusion-expr	recursive_protection	dep:recursive	-
datafusion-expr	sql	sqlparser	default
datafusion-ffi	default	parquet	-
datafusion-ffi	integration-tests	datafusion-functions,datafusion-functions-aggregate,datafusion-functions-table,datafusion-functions-window	-
datafusion-ffi	parquet	datafusion-proto/parquet	default
datafusion-functions	crypto_expressions	blake2,blake3,md-5,sha2	-
datafusion-functions	datetime_expressions	chrono-tz	default
datafusion-functions	default	datetime_expressions,encoding_expressions,math_expressions,regex_expressions,string_expressions,unicode_expressions	-
datafusion-functions	encoding_expressions	base64,hex	default
datafusion-functions	math_expressions	-	default
datafusion-functions	regex_expressions	regex	default
datafusion-functions	string_expressions	uuid	default
datafusion-functions	unicode_expressions	-	default
datafusion-functions-aggregate	force_hash_collisions	datafusion-common/force_hash_collisions	-
datafusion-functions-nested	default	sql	-
datafusion-functions-nested	sql	datafusion-expr/sql	default
datafusion-optimizer	recursive_protection	dep:recursive	-
datafusion-physical-expr	proto	datafusion-physical-expr-common/proto,dep:datafusion-proto-models	-
datafusion-physical-expr	recursive_protection	dep:recursive	-
datafusion-physical-expr-common	default	-	-
datafusion-physical-expr-common	proto	dep:datafusion-proto-models	-
datafusion-physical-optimizer	recursive_protection	dep:recursive	-
