arrow_array::array::ArrayRef	as_dictionary_opt	arrow_array::cast::AsArray	fn as_dictionary_opt<K: ArrowDictionaryKeyType>(&self) -> Option<&DictionaryArray<K>>	
arrow_array::array::ArrayRef	as_fixed_size_binary_opt	arrow_array::cast::AsArray	fn as_fixed_size_binary_opt(&self) -> Option<&FixedSizeBinaryArray>	
arrow_array::array::ArrayRef	as_fixed_size_list_opt	arrow_array::cast::AsArray	fn as_fixed_size_list_opt(&self) -> Option<&FixedSizeListArray>	
arrow_array::array::ArrayRef	as_list_opt	arrow_array::cast::AsArray	fn as_list_opt<O: OffsetSizeTrait>(&self) -> Option<&GenericListArray<O>>	
arrow_array::array::ArrayRef	as_list_view_opt	arrow_array::cast::AsArray	fn as_list_view_opt<O: OffsetSizeTrait>(&self) -> Option<&GenericListViewArray<O>>	
arrow_array::array::ArrayRef	as_map_opt	arrow_array::cast::AsArray	fn as_map_opt(&self) -> Option<&MapArray>	
arrow_array::array::ArrayRef	as_primitive_opt	arrow_array::cast::AsArray	fn as_primitive_opt<T: ArrowPrimitiveType>(&self) -> Option<&PrimitiveArray<T>>	
arrow_array::array::ArrayRef	as_run_opt	arrow_array::cast::AsArray	fn as_run_opt<K: RunEndIndexType>(&self) -> Option<&RunArray<K>>	
arrow_array::array::ArrayRef	as_string_opt	arrow_array::cast::AsArray	fn as_string_opt<O: OffsetSizeTrait>(&self) -> Option<&GenericStringArray<O>>	
arrow_array::array::ArrayRef	as_struct_opt	arrow_array::cast::AsArray	fn as_struct_opt(&self) -> Option<&StructArray>	
arrow_array::array::ArrayRef	as_union_opt	arrow_array::cast::AsArray	fn as_union_opt(&self) -> Option<&UnionArray>	
arrow_array::array::ArrayRef	claim	arrow_array::array::Array	fn claim(&self, pool: &dyn arrow_buffer::MemoryPool)	
arrow_array::array::ArrayRef	data_type	arrow_array::array::Array	fn data_type(&self) -> &DataType	
arrow_array::array::ArrayRef	get_array_memory_size	arrow_array::array::Array	fn get_array_memory_size(&self) -> usize	
arrow_array::array::ArrayRef	get_buffer_memory_size	arrow_array::array::Array	fn get_buffer_memory_size(&self) -> usize	
arrow_array::array::ArrayRef	into_data	arrow_array::array::Array	fn into_data(self) -> ArrayData	
