deltalake-aws	native-tls	aws-config/client-hyper,deltalake-core/native-tls	-
deltalake-aws	rustls	aws-config/client-hyper,aws-sdk-sts/default-https-client,deltalake-core/rustls	default
deltalake-azure	default	rustls	-
deltalake-azure	integration_test	-	-
deltalake-azure	native-tls	deltalake-core/native-tls	-
deltalake-azure	rustls	deltalake-core/rustls	default
deltalake-catalog-glue	default	rustls	-
deltalake-catalog-glue	native-tls	deltalake-core/native-tls	-
deltalake-catalog-glue	rustls	deltalake-core/rustls	default
deltalake-catalog-unity	aws	deltalake-aws	default
deltalake-catalog-unity	azure	deltalake-azure	-
deltalake-catalog-unity	datafusion	deltalake-core/datafusion,dep:datafusion,moka	default
deltalake-catalog-unity	default	aws,datafusion,rustls	-
deltalake-catalog-unity	gcp	deltalake-gcp	-
deltalake-catalog-unity	native-tls	deltalake-core/native-tls	-
deltalake-catalog-unity	r2	deltalake-aws	-
deltalake-catalog-unity	rustls	deltalake-core/rustls	default
deltalake-core	cloud	dep:humantime,object_store/cloud	-
deltalake-core	datafusion	datafusion-datasource,datafusion-physical-expr-adapter,datafusion-proto,dep:datafusion	-
deltalake-core	datafusion-ext	datafusion	-
deltalake-core	default	rustls	-
deltalake-core	delta-cache	foyer,tempfile,url/serde	-
deltalake-core	integration_test	-	-
deltalake-core	json	parquet/json	-
deltalake-core	nanosecond-timestamps	delta_kernel/nanosecond-timestamps	-
deltalake-core	native-tls	delta_kernel_default_engine/native-tls	-
deltalake-core	python	arrow/pyarrow	-
deltalake-core	rustls	delta_kernel_default_engine/rustls	default
deltalake-gcp	default	rustls	-
deltalake-gcp	integration_test	-	-
deltalake-gcp	native-tls	deltalake-core/native-tls	-
deltalake-gcp	rustls	deltalake-core/rustls	default
deltalake-hdfs	default	rustls	-
deltalake-hdfs	integration_test	hdfs-native-object-store/integration-test	-
deltalake-hdfs	native-tls	deltalake-core/native-tls	-
deltalake-hdfs	rustls	deltalake-core/rustls	default
deltalake-lakefs	default	rustls	-
deltalake-lakefs	integration_test_lakefs	-	-
deltalake-lakefs	native-tls	deltalake-core/native-tls	-
deltalake-lakefs	rustls	deltalake-core/rustls	default
deltalake-mount	default	rustls	-
deltalake-mount	integration_test	-	-
deltalake-mount	native-tls	deltalake-core/native-tls	-
deltalake-mount	rustls	deltalake-core/rustls	default
deltalake-opendal	default	opendal-fs,opendal-memory,rustls	-
deltalake-opendal	native-tls	deltalake-core/native-tls,rustls	-
deltalake-opendal	opendal-azblob	opendal/services-azblob	-
