datafusion_tracing::rule_instrumentation::PlanningPhase	enum	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	3	The phase of query planning currently active.
datafusion_tracing::rule_instrumentation::RuleSpanCreateFn	type_alias	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Function type that creates a span for a rule, given the rule name.
datafusion_tracing::rule_instrumentation::SingleSpanTreeTraverser	struct	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	3	Applies an optimizer rule across the tree manually, keeping all work under a single span.
datafusion_tracing::rule_instrumentation::close_phase_span	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Closes a phase span, recording effective rules and plan diff if enabled.
datafusion_tracing::rule_instrumentation::detect_and_record_modification	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Detects if a plan was modified and updates span attributes accordingly.
datafusion_tracing::rule_instrumentation::drop_planning_context	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Drops the current planning context on a fatal rule error, closing the active phase span and resetting `OPTIMIZER_PASS_TRACKER` for `Optimizer` and `PhysicalOptimizer` phases so the next query starts at pass 0.
datafusion_tracing::rule_instrumentation::generate_plan_diff	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Generates a unified diff between two plan strings.
datafusion_tracing::rule_instrumentation::instrument_analyzer_rules	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Instruments analyzer rules with phase sentinel and optional rule-level spans.
datafusion_tracing::rule_instrumentation::instrument_optimizer_rules	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Instruments optimizer rules with phase sentinel and optional rule-level spans.
datafusion_tracing::rule_instrumentation::instrument_physical_optimizer_rules	function	datafusion-tracing	datafusion-tracing	internal	-	api/datafusion_tracing.rule_instrumentation.md	0	0	Instruments physical optimizer rules with phase sentinel and optional rule-level spans.
